"DateTime","Daily PRC"
"2026-04-12 08:49:06",11229
"2026-04-12 08:49:14",11243
"2026-04-12 08:49:26",11223
"2026-04-12 08:49:34",11223
"2026-04-12 08:49:46",11171
"2026-04-12 08:49:54",11194
"2026-04-12 08:50:06",11231
"2026-04-12 08:50:14",11154
"2026-04-12 08:50:26",11138
"2026-04-12 08:50:34",11138
"2026-04-12 08:50:46",11153
"2026-04-12 08:50:54",11141
"2026-04-12 08:51:06",11171
"2026-04-12 08:51:14",11205
"2026-04-12 08:51:26",11194
"2026-04-12 08:51:34",11194
"2026-04-12 08:51:46",11156
"2026-04-12 08:51:54",11230
"2026-04-12 08:52:06",11220
"2026-04-12 08:52:14",11221
"2026-04-12 08:52:26",11203
"2026-04-12 08:52:34",11203
"2026-04-12 08:52:46",11230
"2026-04-12 08:52:54",11214
"2026-04-12 08:53:06",11186
"2026-04-12 08:53:14",11181
"2026-04-12 08:53:26",11140
"2026-04-12 08:53:34",11140
"2026-04-12 08:53:46",11137
"2026-04-12 08:53:54",11128
"2026-04-12 08:54:06",11131
"2026-04-12 08:54:14",11115
"2026-04-12 08:54:26",11190
"2026-04-12 08:54:34",11190
"2026-04-12 08:54:46",11155
"2026-04-12 08:54:54",11157
"2026-04-12 08:55:06",11070
"2026-04-12 08:55:14",11116
"2026-04-12 08:55:26",11047
"2026-04-12 08:55:34",11047
"2026-04-12 08:55:46",11101
"2026-04-12 08:55:54",11112
"2026-04-12 08:56:06",11124
"2026-04-12 08:56:14",11151
"2026-04-12 08:56:26",11129
"2026-04-12 08:56:34",11129
"2026-04-12 08:56:46",11146
"2026-04-12 08:56:54",11112
"2026-04-12 08:57:06",11119
"2026-04-12 08:57:14",11147
"2026-04-12 08:57:26",11133
"2026-04-12 08:57:34",11133
"2026-04-12 08:57:46",11089
"2026-04-12 08:57:54",11124
"2026-04-12 08:58:06",11114
"2026-04-12 08:58:14",11150
"2026-04-12 08:58:26",11161
"2026-04-12 08:58:34",11161
"2026-04-12 08:58:46",11112
"2026-04-12 08:58:54",11106
"2026-04-12 08:59:06",11110
"2026-04-12 08:59:14",11111
"2026-04-12 08:59:26",11124
"2026-04-12 08:59:34",11124
"2026-04-12 08:59:46",11060
"2026-04-12 08:59:54",11126
"2026-04-12 09:00:06",11109
"2026-04-12 09:00:14",11160
"2026-04-12 09:00:26",11077
"2026-04-12 09:00:34",11077
"2026-04-12 09:00:46",11122
"2026-04-12 09:00:54",11130
"2026-04-12 09:01:06",11132
"2026-04-12 09:01:14",11163
"2026-04-12 09:01:26",11161
"2026-04-12 09:01:34",11161
"2026-04-12 09:01:46",11129
"2026-04-12 09:01:54",11167
"2026-04-12 09:02:06",11160
"2026-04-12 09:02:14",11240
"2026-04-12 09:02:26",11185
"2026-04-12 09:02:34",11185
"2026-04-12 09:02:46",11181
"2026-04-12 09:02:54",11204
"2026-04-12 09:03:06",11241
"2026-04-12 09:03:14",11215
"2026-04-12 09:03:26",11261
"2026-04-12 09:03:34",11261
"2026-04-12 09:03:46",11219
"2026-04-12 09:03:54",11223
"2026-04-12 09:04:06",11302
"2026-04-12 09:04:14",11284
"2026-04-12 09:04:26",11291
"2026-04-12 09:04:34",11291
"2026-04-12 09:04:46",11306
"2026-04-12 09:04:54",11217
"2026-04-12 09:05:06",11274
"2026-04-12 09:05:14",11239
"2026-04-12 09:05:26",11275
"2026-04-12 09:05:34",11275
"2026-04-12 09:05:46",11320
"2026-04-12 09:05:54",11290
"2026-04-12 09:06:06",11313
"2026-04-12 09:06:14",11447
"2026-04-12 09:06:26",11346
"2026-04-12 09:06:34",11346
"2026-04-12 09:06:46",11403
"2026-04-12 09:06:54",11381
"2026-04-12 09:07:06",11382
"2026-04-12 09:07:14",11375
"2026-04-12 09:07:26",11448
"2026-04-12 09:07:34",11448
"2026-04-12 09:07:46",11397
"2026-04-12 09:07:54",11377
"2026-04-12 09:08:06",11412
"2026-04-12 09:08:14",11417
"2026-04-12 09:08:26",11413
"2026-04-12 09:08:34",11413
"2026-04-12 09:08:46",11400
"2026-04-12 09:08:54",11439
"2026-04-12 09:09:06",11423
"2026-04-12 09:09:14",11517
"2026-04-12 09:09:26",11467
"2026-04-12 09:09:34",11467
"2026-04-12 09:09:46",11452
"2026-04-12 09:09:54",11428
"2026-04-12 09:10:06",11509
"2026-04-12 09:10:14",11494
"2026-04-12 09:10:26",11493
"2026-04-12 09:10:34",11494
"2026-04-12 09:10:46",11535
"2026-04-12 09:10:54",11535
"2026-04-12 09:11:06",11458
"2026-04-12 09:11:14",11481
"2026-04-12 09:11:26",11390
"2026-04-12 09:11:34",11506
"2026-04-12 09:11:46",11493
"2026-04-12 09:11:54",11493
"2026-04-12 09:12:06",11491
"2026-04-12 09:12:14",11450
"2026-04-12 09:12:26",11518
"2026-04-12 09:12:34",11616
"2026-04-12 09:12:46",11606
"2026-04-12 09:12:54",11606
"2026-04-12 09:13:06",11559
"2026-04-12 09:13:14",11580
"2026-04-12 09:13:26",11578
"2026-04-12 09:13:34",11644
"2026-04-12 09:13:46",11674
"2026-04-12 09:13:54",11674
"2026-04-12 09:14:06",11607
"2026-04-12 09:14:14",11619
"2026-04-12 09:14:26",11607
"2026-04-12 09:14:34",11599
"2026-04-12 09:14:46",11609
"2026-04-12 09:14:54",11609
"2026-04-12 09:15:06",11555
"2026-04-12 09:15:14",11590
"2026-04-12 09:15:26",11584
"2026-04-12 09:15:34",11584
"2026-04-12 09:15:46",11606
"2026-04-12 09:15:54",11570
"2026-04-12 09:16:06",11679
"2026-04-12 09:16:14",11616
"2026-04-12 09:16:26",11697
"2026-04-12 09:16:34",11697
"2026-04-12 09:16:46",11737
"2026-04-12 09:16:54",11739
"2026-04-12 09:17:06",11729
"2026-04-12 09:17:14",11737
"2026-04-12 09:17:26",11819
"2026-04-12 09:17:34",11819
"2026-04-12 09:17:46",11714
"2026-04-12 09:17:54",11789
"2026-04-12 09:18:06",11782
"2026-04-12 09:18:14",11824
"2026-04-12 09:18:26",11750
"2026-04-12 09:18:34",11750
"2026-04-12 09:18:46",11791
"2026-04-12 09:18:54",11774
"2026-04-12 09:19:06",11826
"2026-04-12 09:19:14",11829
"2026-04-12 09:19:26",11837
"2026-04-12 09:19:34",11837
"2026-04-12 09:19:46",11847
"2026-04-12 09:19:54",11767
"2026-04-12 09:20:06",11876
"2026-04-12 09:20:14",11789
"2026-04-12 09:20:26",11757
"2026-04-12 09:20:34",11720
"2026-04-12 09:20:46",11698
"2026-04-12 09:20:54",11698
"2026-04-12 09:21:06",11813
"2026-04-12 09:21:14",11766
"2026-04-12 09:21:26",11811
"2026-04-12 09:21:34",11885
"2026-04-12 09:21:46",11898
"2026-04-12 09:21:54",11898
"2026-04-12 09:22:06",11853
"2026-04-12 09:22:14",11882
"2026-04-12 09:22:26",11927
"2026-04-12 09:22:34",11912
"2026-04-12 09:22:46",11933
"2026-04-12 09:22:54",11933
"2026-04-12 09:23:06",11900
"2026-04-12 09:23:14",11931
"2026-04-12 09:23:26",12009
"2026-04-12 09:23:34",11902
"2026-04-12 09:23:46",11914
"2026-04-12 09:23:54",11914
"2026-04-12 09:24:06",11949
"2026-04-12 09:24:14",11954
"2026-04-12 09:24:26",11936
"2026-04-12 09:24:34",12030
"2026-04-12 09:24:46",11956
"2026-04-12 09:24:54",11956
"2026-04-12 09:25:06",11987
"2026-04-12 09:25:14",12082
"2026-04-12 09:25:26",11984
"2026-04-12 09:25:34",11984
"2026-04-12 09:25:46",12006
"2026-04-12 09:25:54",12037
"2026-04-12 09:26:06",12060
"2026-04-12 09:26:14",12117
"2026-04-12 09:26:26",12132
"2026-04-12 09:26:34",12132
"2026-04-12 09:26:46",12144
"2026-04-12 09:26:54",12079
"2026-04-12 09:27:06",11977
"2026-04-12 09:27:14",12074
"2026-04-12 09:27:26",12073
"2026-04-12 09:27:34",12073
"2026-04-12 09:27:46",12036
"2026-04-12 09:27:54",12064
"2026-04-12 09:28:06",12105
"2026-04-12 09:28:14",12109
"2026-04-12 09:28:26",12066
"2026-04-12 09:28:34",12066
"2026-04-12 09:28:46",12147
"2026-04-12 09:28:54",12094
"2026-04-12 09:29:06",12144
"2026-04-12 09:29:14",12200
"2026-04-12 09:29:26",12114
"2026-04-12 09:29:34",12114
"2026-04-12 09:29:46",12196
"2026-04-12 09:29:54",12190
"2026-04-12 09:30:06",12185
"2026-04-12 09:30:14",12213
"2026-04-12 09:30:26",12249
"2026-04-12 09:30:34",12249
"2026-04-12 09:30:46",12230
"2026-04-12 09:30:54",12192
"2026-04-12 09:31:06",12196
"2026-04-12 09:31:14",12202
"2026-04-12 09:31:26",12266
"2026-04-12 09:31:34",12266
"2026-04-12 09:31:46",12217
"2026-04-12 09:31:54",12254
"2026-04-12 09:32:06",12316
"2026-04-12 09:32:14",12297
"2026-04-12 09:32:26",12347
"2026-04-12 09:32:34",12347
"2026-04-12 09:32:46",12258
"2026-04-12 09:32:54",12311
"2026-04-12 09:33:06",12326
"2026-04-12 09:33:14",12354
"2026-04-12 09:33:26",12316
"2026-04-12 09:33:34",12316
"2026-04-12 09:33:46",12379
"2026-04-12 09:33:54",12425
"2026-04-12 09:34:06",12433
"2026-04-12 09:34:14",12346
"2026-04-12 09:34:26",12346
"2026-04-12 09:34:34",12346
"2026-04-12 09:34:46",12374
"2026-04-12 09:34:54",12315
"2026-04-12 09:35:06",12358
"2026-04-12 09:35:14",12455
"2026-04-12 09:35:26",12395
"2026-04-12 09:35:34",12395
"2026-04-12 09:35:46",12329
"2026-04-12 09:35:54",12350
"2026-04-12 09:36:06",12369
"2026-04-12 09:36:14",12391
"2026-04-12 09:36:26",12484
"2026-04-12 09:36:34",12484
"2026-04-12 09:36:46",12434
"2026-04-12 09:36:54",12436
"2026-04-12 09:37:06",12420
"2026-04-12 09:37:14",12410
"2026-04-12 09:37:26",12454
"2026-04-12 09:37:34",12454
"2026-04-12 09:37:46",12560
"2026-04-12 09:37:54",12471
"2026-04-12 09:38:06",12456
"2026-04-12 09:38:14",12529
"2026-04-12 09:38:26",12502
"2026-04-12 09:38:34",12502
"2026-04-12 09:38:46",12547
"2026-04-12 09:38:54",12577
"2026-04-12 09:39:06",12565
"2026-04-12 09:39:14",12634
"2026-04-12 09:39:26",12600
"2026-04-12 09:39:34",12600
"2026-04-12 09:39:46",12528
"2026-04-12 09:39:54",12521
"2026-04-12 09:40:06",12557
"2026-04-12 09:40:14",12639
"2026-04-12 09:40:26",12587
"2026-04-12 09:40:34",12587
"2026-04-12 09:40:46",12588
"2026-04-12 09:40:54",12664
"2026-04-12 09:41:06",12631
"2026-04-12 09:41:14",12747
"2026-04-12 09:41:26",12649
"2026-04-12 09:41:34",12649
"2026-04-12 09:41:46",12748
"2026-04-12 09:41:54",12702
"2026-04-12 09:42:06",12817
"2026-04-12 09:42:14",12889
"2026-04-12 09:42:26",12790
"2026-04-12 09:42:34",12790
"2026-04-12 09:42:46",12778
"2026-04-12 09:42:54",12856
"2026-04-12 09:43:06",12830
"2026-04-12 09:43:14",12802
"2026-04-12 09:43:26",12883
"2026-04-12 09:43:34",12883
"2026-04-12 09:43:46",12950
"2026-04-12 09:43:54",12869
"2026-04-12 09:44:06",12899
"2026-04-12 09:44:14",12897
"2026-04-12 09:44:26",12852
"2026-04-12 09:44:34",12852
"2026-04-12 09:44:46",12859
"2026-04-12 09:44:54",12880
"2026-04-12 09:45:06",12928
"2026-04-12 09:45:14",12899
"2026-04-12 09:45:26",12901
"2026-04-12 09:45:34",12901
"2026-04-12 09:45:46",12972
"2026-04-12 09:45:54",12992
"2026-04-12 09:46:06",13001
"2026-04-12 09:46:14",12897
"2026-04-12 09:46:26",13010
"2026-04-12 09:46:34",13010
"2026-04-12 09:46:46",12984
"2026-04-12 09:46:54",12917
"2026-04-12 09:47:06",12997
"2026-04-12 09:47:14",13071
"2026-04-12 09:47:26",12990
"2026-04-12 09:47:34",12990
"2026-04-12 09:47:46",12972
"2026-04-12 09:47:54",13018
"2026-04-12 09:48:06",13011
"2026-04-12 09:48:14",12998
"2026-04-12 09:48:26",12998
"2026-04-12 09:48:34",12998
"2026-04-12 09:48:46",13031
"2026-04-12 09:48:54",12979
"2026-04-12 09:49:06",12955
"2026-04-12 09:49:14",12998
"2026-04-12 09:49:26",13047
"2026-04-12 09:49:34",13047
"2026-04-12 09:49:46",13085
"2026-04-12 09:49:54",13012
"2026-04-12 09:50:06",13090
"2026-04-12 09:50:14",12975
"2026-04-12 09:50:26",12994
"2026-04-12 09:50:34",12994
"2026-04-12 09:50:46",13028
"2026-04-12 09:50:54",13079
"2026-04-12 09:51:06",13009
"2026-04-12 09:51:14",13063
"2026-04-12 09:51:26",13061
"2026-04-12 09:51:34",13061
"2026-04-12 09:51:46",13077
"2026-04-12 09:51:54",13003
"2026-04-12 09:52:06",13129
"2026-04-12 09:52:14",13051
"2026-04-12 09:52:26",13016
"2026-04-12 09:52:34",13016
"2026-04-12 09:52:46",13039
"2026-04-12 09:52:54",12972
"2026-04-12 09:53:06",13102
"2026-04-12 09:53:14",13013
"2026-04-12 09:53:26",13091
"2026-04-12 09:53:34",13091
"2026-04-12 09:53:46",12999
"2026-04-12 09:53:54",13033
"2026-04-12 09:54:06",13032
"2026-04-12 09:54:14",13036
"2026-04-12 09:54:26",13082
"2026-04-12 09:54:34",13082
"2026-04-12 09:54:46",13049
"2026-04-12 09:54:54",13083
"2026-04-12 09:55:06",13098
"2026-04-12 09:55:14",13086
"2026-04-12 09:55:26",13050
"2026-04-12 09:55:34",13050
